Persoon,DPUP1,DPUP2,DPUP3,DPUP4,DCOP1,DCOP2,DCOP3,DCOP4,DDOP1,DDOP2,DDOP3,DDOP4,PKNP1,PKNP2,PKNP3,PKNP4,PSKP1,PSKP2,PSKP3,PSKP4,PBRP1,PBRP2,PBRP3,PBRP4,OIDP1,OIDP2,OIDP3,OIDP4,OACP1,OACP2,OACP3,OACP4,OAUP1,OAUP2,OAUP3,OAUP4,IISP1,IISP2,IISP3,IISP4,IHRP1,IHRP2,IHRP3,IHRP4,MDEP1,MDEP2,MDEP3,MDEP4,MUSP1,MUSP2,MUSP3,MUSP4
1,0,2,1,1,3,3,1,1,2,2,1,2,3,2,2,2,2,2,3,2,2,3,3,2,2,2,2,2,2,2,1,1,2,2,2,2,0,0,1,1,2,2,2,2,2,2,1,1,3,2,2,2
2,3,1,3,1,3,3,1,2,1,0,0,0,3,3,3,1,2,3,2,1,3,3,2,1,3,2,3,1,3,3,3,1,3,0,2,0,3,3,2,3,1,3,2,0,1,1,2,1,3,2,2,3
3,2,3,3,0,3,2,2,2,2,2,3,2,3,3,3,3,3,3,3,2,3,3,3,3,2,3,2,0,3,3,2,2,3,2,2,0,3,0,2,2,0,2,2,2,0,2,2,2,3,3,3,2
4,3,1,1,1,1,2,2,1,3,1,2,1,2,2,2,2,3,3,2,2,3,2,2,2,2,1,1,1,2,2,1,1,2,2,1,1,3,1,1,1,2,2,2,1,2,1,1,2,1,1,1,1
5,3,3,3,2,3,2,2,1,2,3,2,3,2,1,1,1,2,3,2,2,3,3,2,2,3,2,3,1,3,3,0,0,3,3,0,2,3,3,1,2,2,2,2,2,1,2,2,0,2,2,2,2
6,3,3,2,1,3,2,1,1,0,0,0,1,2,2,2,1,2,2,2,2,2,2,3,2,1,1,1,1,1,1,1,1,1,2,1,1,3,2,1,1,2,1,0,1,2,2,1,1,1,1,1,1
7,3,1,1,2,3,0,0,0,0,3,3,3,2,2,2,0,0,2,2,2,,,,,3,2,0,0,,,,,,,,,2,2,2,3,0,0,0,2,2,0,0,0,1,2,1,1
8,3,3,2,2,2,2,1,1,2,2,1,1,2,2,0,0,2,2,2,2,2,3,2,2,3,3,2,1,2,2,2,2,1,1,1,1,0,3,3,1,1,0,0,0,,,,,,,,
9,3,1,1,0,3,1,2,1,3,2,0,3,2,3,0,0,2,0,0,1,0,3,3,2,1,1,0,1,1,1,1,1,0,2,1,1,2,2,1,1,0,1,0,3,1,1,0,0,1,2,2,0
10,2,3,3,1,3,3,2,1,2,2,0,0,3,3,2,2,3,3,2,2,3,3,3,2,3,1,0,0,2,2,0,0,3,0,0,0,1,3,2,0,,,,,,,,,,,,
11,2,2,3,0,0,3,1,1,2,1,2,2,3,3,2,2,2,3,1,1,3,2,2,1,0,1,0,0,0,0,1,2,3,0,1,2,2,2,1,1,0,1,2,3,1,1,2,2,1,1,1,1
12,2,3,3,1,3,2,1,1,3,2,2,0,3,3,2,1,2,3,2,2,3,3,2,2,3,2,2,2,2,2,3,0,2,0,0,0,0,2,0,0,1,1,0,0,,,,,2,2,2,2
13,3,2,1,1,3,2,0,1,2,3,1,1,2,1,2,2,2,2,2,2,3,3,3,2,3,2,2,1,2,1,1,1,1,2,1,1,0,2,1,1,1,1,1,1,1,2,2,2,3,3,2,2
14,,,,,,,,,,,,,3,3,3,3,3,3,3,2,0,0,3,3,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
15,3,1,3,3,3,3,3,3,3,3,3,0,0,3,3,0,3,3,3,3,0,3,3,3,3,0,0,0,,,,,,,,,,,,,3,3,3,0,0,3,0,0,,,,
16,2,3,0,0,3,3,0,0,2,0,0,0,,,,,2,2,1,2,2,3,2,2,1,1,0,0,2,0,0,0,,,,,2,2,2,2,0,2,0,0,0,2,2,2,,,,
